05.03.2026                             Salida dinámica de lista                                                                                   1


		Elemento PEP	Denominación del objeto	Texto de pedido		   Val/MonObj	MonO	Doc.compr.	Usuario	Fe.contab.
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Kit completo dede riel para tecle.		      391,57	USD	8241854466	AC44147	06.06.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Fabricación de mueble		-0,97	USD	8241836688	AC41273	07.06.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Cambio de alimentación eléctrica		      253,80	USD	8241809776	AC41273	07.06.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Kit completo dede riel para tecle.		-4,26	USD	8241854466	AC41273	11.06.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B	Fabriacr e instalar guardas  ASRS		    4.218,98	USD	8241838122	AC13779	13.06.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Reduc. Concentricas Argen sch80 3x2"		       80,33	USD	8241854465	AC44147	17.06.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Acople STORZ 2" rosca HE - NPT.		      217,88	USD	8241854465	AC44147	17.06.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Tapa STORZ 2".		      136,87	USD	8241854465	AC44147	17.06.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Metros ca#ería sch80 Brasil. 3"		      947,74	USD	8241854465	AC44147	17.06.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Curva 90° Argent. Sch80  3".		       96,77	USD	8241854465	AC44147	17.06.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Flange Argent.negro clase 300 3"		      172,69	USD	8241854465	AC44147	17.06.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Curva 45° Argen  sch85. 3"		      162,20	USD	8241854465	AC44147	17.06.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Motobomba Diesel 3"X3 6.7HPDWP30LE		      953,79	USD	8241854465	AC44147	17.06.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			    1.290,68	USD		ZA20326	18.06.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B	Fabriacr e instalar guardas  ASRS		-108,08	USD	8241838122	AC41273	18.06.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			      658,67	USD		AA78712	25.06.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			      516,27	USD		AA78712	25.06.2024
		EEX-240010-01	EX-Nuevos spool breaker -area steelastic	Fabricar nuevos spool de breaker		   61.551,76	USD	8241838042	AC13779	27.06.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO RITTAL P/N: 3179801		    4.806,79	USD	8241805039	AC44147	27.06.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B			       61,77	USD		ZA20326	02.07.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			       64,18	USD		ZA20326	02.07.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			    2.305,36	USD		ZA20326	04.07.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO RITTAL P/N: 3179801		-150,35	USD	8241805039	AC91020	04.07.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO RITTAL P/N: 3179801		        0,00	USD	8241805039	AC91020	04.07.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			       21,69	USD		ZA81615	09.07.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			    1.517,91	USD		ZA35674	11.07.2024
		EEX-240003-01	EX-Upgrade AACC Units for Extruder & ASR	AIRE ACONDICIONADO RITTAL P/N: 3186930		   22.313,06	USD	8241801567	AC42522	11.07.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO P/N: SK 3302100		   18.079,35	USD	8241808021	AC44147	17.07.2024
		EEX-240003-01	EX-Upgrade AACC Units for Extruder & ASR	AIRE ACONDICIONADO P/N: SK 3302100		   18.933,49	USD	8241801457	AC44147	17.07.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer	CASSETTE TROLLEY WHEEL 10"		  115.110,00	USD	8241833133	AC44147	19.07.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer	CASSETTE TROLLEY WHEEL 10"		-115.110,00	USD	8241833133	AC44147	19.07.2024
		EEX-240003-01	EX-Upgrade AACC Units for Extruder & ASR	AIRE ACONDICIONADO RITTAL P/N: 3186930		-492,20	USD	8241801567	AC41273	19.07.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			       14,16	USD		ZA20326	19.07.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer	CASSETTE TROLLEY WHEEL 10"		  115.110,00	USD	8241833133	AC44147	22.07.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer	CASSETTE TROLLEY WHEEL 10"		-115.110,00	USD	8241833133	AC44147	22.07.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B			       22,42	USD		ZA20326	22.07.2024
		EEX-240012-01	EX-Condicion basica cuarto seco Steelas	CONJUNTO EJE SAE1045, CON GOLILLA TEFLON		    6.974,80	USD	8241878097	AC44147	22.07.2024
		EEX-240003-01	EX-Upgrade AACC Units for Extruder & ASR	AIRE ACONDICIONADO P/N: SK 3302100		-655,25	USD	8241801457	AC77311	22.07.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO P/N: SK 3302100		-625,70	USD	8241808021	AC77311	22.07.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer	CASSETTE TROLLEY WHEEL 10"		  115.110,00	USD	8241833133	AC44147	23.07.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer	CASSETTE TROLLEY WHEEL 10"		    5.752,68	USD	8241833133	AC44147	23.07.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Reparación de escotillas zon tecle		    2.328,48	USD	8241817902	AC13779	24.07.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer	CASSETTE TROLLEY WHEEL 10"		      110,54	USD	8241833133	AC67886	24.07.2024
		EEX-240012-01	EX-Condicion basica cuarto seco Steelas	CONJUNTO EJE SAE1045, CON GOLILLA TEFLON		-39,48	USD	8241878097	AC41273	25.07.2024
		EEX-240012-01	EX-Condicion basica cuarto seco Steelas	CONJUNTO EJE SAE1045, CON GOLILLA TEFLON		    6.935,32	USD	8241878097	AC44147	25.07.2024
		EEX-240012-01	EX-Condicion basica cuarto seco Steelas	CONJUNTO EJE SAE1045, CON GOLILLA TEFLON		       13,16	USD	8241878097	AC77311	26.07.2024
		EEX-240012-01	EX-Condicion basica cuarto seco Steelas	ASESORIA EN PREVENCION DE RIESGOS		      978,36	USD	8241897217	AA67756	29.07.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B	Servició soporte técnico		    1.931,40	USD	8241875816	AC13779	06.08.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer			      993,89	USD		ZA25292	06.08.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			    1.646,69	USD		ZA25292	06.08.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			    1.762,56	USD		ZA25292	06.08.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B			        9,17	USD		ZA20326	09.08.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer	CASSETTE TROLLEY WHEEL 10"		    6.064,38	USD	8241833133	AC67886	12.08.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer	CASSETTE TROLLEY WHEEL 10"		-5.752,68	USD	8241833133	AC67886	12.08.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B	Servició soporte técnico		       51,80	USD	8241875816	AC41273	12.08.2024
		EEX-240012-01	EX-Condicion basica cuarto seco Steelas	Operator and Maintenance Training		   16.800,00	USD	8241861873	AA67756	14.08.2024
